timestamp,machine_id,temperature_c,vibration_rms,vibration_peak,current_draw_a,current_imbalance,pressure_bar,rpm,bearing_temp_c,power_factor,failure_label,failure_type
2023-01-01 00:00:00,M001,59.91,3.564,11.709,22.89,0.574,5.351,2903.6,60.63,0.9059,0,normal
2023-01-01 01:00:00,M001,60.72,3.829,11.257,22.85,0.113,5.409,2882.7,64.45,0.9258,0,normal
2023-01-01 02:00:00,M001,60.6,3.719,12.725,23.54,0.588,5.276,2903.1,67.36,0.9244,0,normal
2023-01-01 03:00:00,M001,60.44,3.492,11.275,22.38,0.317,5.326,2893.1,67.22,0.9316,0,normal
2023-01-01 04:00:00,M001,59.36,3.494,11.228,23.29,0.056,5.496,2892.8,64.21,0.8992,0,normal
2023-01-01 05:00:00,M001,61.16,3.863,10.62,23.11,0.247,5.554,2860.7,66.2,0.9381,0,normal
2023-01-01 06:00:00,M001,62.83,3.557,9.284,22.72,0.099,5.348,2913.7,69.18,0.9138,0,normal
2023-01-01 07:00:00,M001,60.03,3.84,12.301,23.27,0.07,5.424,2900.1,60.99,0.9243,0,normal
2023-01-01 08:00:00,M001,61.0,3.424,9.388,22.16,0.739,5.395,2900.9,65.99,0.9268,0,normal
2023-01-01 09:00:00,M001,62.33,3.627,9.128,23.52,0.421,5.307,2921.0,69.08,0.9541,0,normal
2023-01-01 10:00:00,M001,58.29,3.422,10.813,22.59,0.465,5.445,2886.2,64.4,0.9129,0,normal
2023-01-01 11:00:00,M001,60.96,3.794,9.803,22.32,0.235,5.416,2903.9,68.39,0.9324,0,normal
2023-01-01 12:00:00,M001,61.06,3.616,11.094,24.06,0.197,5.445,2882.1,67.94,0.9285,0,normal
2023-01-01 13:00:00,M001,60.25,3.628,11.69,22.68,0.102,5.316,2898.8,65.18,0.8919,0,normal
2023-01-01 14:00:00,M001,59.01,3.546,10.84,23.01,0.022,5.469,2907.1,62.99,0.9015,0,normal
2023-01-01 15:00:00,M001,60.88,3.517,11.642,22.68,0.343,5.413,2900.9,64.67,0.9381,0,normal
2023-01-01 16:00:00,M001,61.39,4.557,13.866,23.41,0.195,5.512,2914.3,65.32,0.9192,0,normal
2023-01-01 17:00:00,M001,61.65,3.885,12.19,22.89,0.323,5.507,2901.0,70.33,0.9678,0,normal
2023-01-01 18:00:00,M001,57.58,3.457,9.509,22.79,0.034,5.483,2888.1,61.94,0.9133,0,normal
2023-01-01 19:00:00,M001,63.27,3.523,9.152,22.49,0.31,5.49,2931.8,72.01,0.9153,0,normal
2023-01-01 20:00:00,M001,55.76,3.709,9.876,23.0,0.429,5.273,2924.5,62.58,0.9281,0,normal
2023-01-01 21:00:00,M001,60.92,3.581,12.196,23.16,0.199,5.359,2901.7,65.7,0.9288,0,normal
2023-01-01 22:00:00,M001,61.04,3.588,9.607,23.02,0.255,5.349,2891.2,67.79,0.9074,0,normal
2023-01-01 23:00:00,M001,61.74,3.585,12.197,23.11,0.177,5.41,2919.2,67.26,0.9118,0,normal
2023-01-02 00:00:00,M001,62.58,3.408,11.083,23.46,0.039,5.367,2904.9,65.18,0.9441,0,normal
2023-01-02 01:00:00,M001,61.55,3.59,9.338,23.12,0.203,5.308,2901.1,69.27,0.9323,0,normal
2023-01-02 02:00:00,M001,60.99,3.554,12.105,22.89,0.422,5.421,2878.3,69.13,0.8793,0,normal
2023-01-02 03:00:00,M001,60.59,3.702,12.821,23.11,0.248,5.369,2904.8,66.5,0.9131,0,normal
2023-01-02 04:00:00,M001,60.95,3.405,10.625,23.17,0.149,5.321,2900.4,67.91,0.9178,0,normal
2023-01-02 05:00:00,M001,59.36,3.581,9.535,22.06,0.045,5.345,2888.6,66.3,0.9314,0,normal
2023-01-02 06:00:00,M001,58.64,3.951,13.294,23.71,0.406,5.351,2874.3,63.53,0.9178,0,normal
2023-01-02 07:00:00,M001,60.63,3.416,10.833,22.9,0.043,5.46,2884.0,65.02,0.9034,0,normal
2023-01-02 08:00:00,M001,62.94,3.436,9.322,23.71,0.527,5.405,2930.9,69.7,0.9498,0,normal
2023-01-02 09:00:00,M001,62.21,3.929,10.837,22.53,0.215,5.194,2896.0,68.8,0.9197,0,normal
2023-01-02 10:00:00,M001,61.19,3.411,9.707,22.09,0.201,5.389,2880.4,67.17,0.898,0,normal
2023-01-02 11:00:00,M001,60.52,3.688,11.766,22.63,0.238,5.448,2892.0,60.96,0.9211,0,normal
2023-01-02 12:00:00,M001,59.57,3.466,11.255,23.07,0.227,5.376,2909.2,60.18,0.9075,0,normal
2023-01-02 13:00:00,M001,61.48,3.495,9.882,24.66,0.287,5.51,2898.1,65.17,0.8988,0,normal
2023-01-02 14:00:00,M001,63.15,3.666,11.257,23.12,0.258,5.546,2901.2,65.53,0.9479,0,normal
2023-01-02 15:00:00,M001,58.52,3.57,12.016,22.8,0.259,5.349,2891.1,63.35,0.9278,0,normal
2023-01-02 16:00:00,M001,59.75,3.628,9.95,23.37,0.225,5.3,2901.5,59.27,0.9256,0,normal
2023-01-02 17:00:00,M001,61.01,3.673,11.685,23.44,0.363,5.232,2899.0,67.53,0.908,0,normal
2023-01-02 18:00:00,M001,61.41,3.834,12.812,21.89,0.061,5.318,2908.7,69.57,0.9298,0,normal
2023-01-02 19:00:00,M001,61.12,3.525,10.141,22.88,0.126,5.355,2905.9,68.73,0.915,0,normal
2023-01-02 20:00:00,M001,57.81,3.507,9.942,23.13,0.066,5.566,2904.9,63.95,0.9233,0,normal
2023-01-02 21:00:00,M001,61.13,3.526,11.907,23.44,0.074,5.625,2902.7,66.93,0.9502,0,normal
2023-01-02 22:00:00,M001,62.17,3.554,10.115,22.99,0.113,5.3,2893.3,67.74,0.8874,0,normal
2023-01-02 23:00:00,M001,57.95,3.85,13.177,23.45,0.338,5.392,2904.2,64.13,0.9556,0,normal
2023-01-03 00:00:00,M001,59.43,3.543,10.271,24.06,0.153,5.533,2923.9,65.48,0.9708,0,normal
2023-01-03 01:00:00,M001,60.38,3.529,9.446,22.62,0.022,5.233,2912.3,65.08,0.8975,0,normal
2023-01-03 02:00:00,M001,56.57,3.418,11.951,23.01,0.338,5.468,2927.7,61.24,0.904,0,normal
2023-01-03 03:00:00,M001,64.48,3.419,10.055,23.13,0.043,5.396,2903.0,64.16,0.9478,0,normal
2023-01-03 04:00:00,M001,62.49,4.023,10.952,22.95,0.233,5.361,2878.9,67.55,0.9182,0,normal
2023-01-03 05:00:00,M001,61.7,3.74,10.117,22.86,0.214,5.447,2881.7,64.69,0.9529,0,normal
2023-01-03 06:00:00,M001,61.51,3.494,10.166,23.29,0.055,5.273,2913.9,63.68,0.9351,0,normal
2023-01-03 07:00:00,M001,57.5,3.91,10.784,23.23,0.12,5.388,2891.8,63.84,0.9631,0,normal
2023-01-03 08:00:00,M001,60.87,3.457,11.51,23.13,0.233,5.433,2891.9,67.31,0.9601,0,normal
2023-01-03 09:00:00,M001,61.0,3.696,10.68,23.96,0.384,5.499,2872.4,67.16,0.8913,0,normal
2023-01-03 10:00:00,M001,59.23,3.807,9.713,22.64,0.79,5.503,2885.8,61.19,0.9322,0,normal
2023-01-03 11:00:00,M001,64.46,3.43,10.6,23.7,0.531,5.328,2899.5,71.32,0.8982,0,normal
2023-01-03 12:00:00,M001,59.53,3.476,10.39,23.09,0.401,5.46,2902.7,65.79,0.9109,0,normal
2023-01-03 13:00:00,M001,61.26,3.464,11.53,23.26,0.316,5.27,2883.8,68.04,0.9107,0,normal
2023-01-03 14:00:00,M001,60.76,3.54,11.066,22.91,0.144,5.367,2903.3,67.85,0.907,0,normal
2023-01-03 15:00:00,M001,61.02,3.668,11.876,23.17,0.423,5.505,2892.2,62.5,0.8864,0,normal
2023-01-03 16:00:00,M001,59.99,3.486,12.026,22.45,0.23,5.306,2884.9,66.35,0.8986,0,normal
2023-01-03 17:00:00,M001,62.09,3.466,9.276,23.1,0.115,5.465,2883.2,67.24,0.8886,0,normal
2023-01-03 18:00:00,M001,59.68,3.568,10.99,22.81,0.171,5.517,2921.3,66.56,0.9671,0,normal
2023-01-03 19:00:00,M001,59.7,3.518,9.569,23.27,0.603,5.431,2909.9,64.68,0.9032,0,normal
2023-01-03 20:00:00,M001,59.84,3.469,10.955,23.12,0.159,5.517,2937.9,65.45,0.9248,0,normal
2023-01-03 21:00:00,M001,61.85,3.554,11.526,23.66,0.195,5.515,2920.7,65.18,0.9126,0,normal
2023-01-03 22:00:00,M001,61.17,3.519,10.704,23.14,0.014,5.526,2902.9,65.37,0.9253,0,normal
2023-01-03 23:00:00,M001,60.48,3.485,11.75,23.43,0.058,5.417,2893.3,65.73,0.9104,0,normal
2023-01-04 00:00:00,M001,59.78,3.515,9.562,23.91,0.564,5.391,2891.7,66.75,0.933,0,normal
2023-01-04 01:00:00,M001,60.98,3.571,9.748,22.48,0.03,5.485,2909.8,65.57,0.938,0,normal
2023-01-04 02:00:00,M001,58.74,3.835,11.433,23.08,0.137,5.51,2905.1,64.72,0.945,0,normal
2023-01-04 03:00:00,M001,59.6,3.942,11.746,23.1,0.204,5.255,2901.9,63.23,0.9165,0,normal
2023-01-04 04:00:00,M001,58.24,3.63,9.109,23.52,0.014,5.441,2885.5,66.81,0.9305,0,normal
2023-01-04 05:00:00,M001,60.93,4.014,12.871,23.0,0.084,5.33,2885.0,64.33,0.9255,0,normal
2023-01-04 06:00:00,M001,60.71,3.596,11.303,23.47,0.191,5.437,2913.4,68.34,0.916,0,normal
2023-01-04 07:00:00,M001,63.22,3.461,11.141,22.8,0.127,5.35,2895.2,68.03,0.9793,0,normal
2023-01-04 08:00:00,M001,60.68,3.437,11.087,23.43,0.501,5.296,2896.1,69.68,0.8888,0,normal
2023-01-04 09:00:00,M001,62.24,3.413,11.635,23.04,0.473,5.486,2909.8,65.86,0.928,0,normal
2023-01-04 10:00:00,M001,59.79,3.603,9.937,23.11,0.111,5.515,2908.2,64.62,0.9275,0,normal
2023-01-04 11:00:00,M001,58.68,3.75,10.307,22.89,0.143,5.433,2899.3,66.14,0.9148,0,normal
2023-01-04 12:00:00,M001,62.87,3.656,9.35,22.95,0.623,5.363,2895.2,66.77,0.9135,0,normal
2023-01-04 13:00:00,M001,61.71,3.417,11.508,23.49,0.599,5.39,2901.2,67.61,0.9228,0,normal
2023-01-04 14:00:00,M001,62.12,4.27,11.432,24.17,0.312,5.384,2916.6,66.79,0.9415,0,normal
2023-01-04 15:00:00,M001,61.92,3.55,11.214,23.2,0.017,5.434,2936.1,68.26,0.8985,0,normal
2023-01-04 16:00:00,M001,63.07,3.745,11.864,23.28,0.099,5.323,2899.0,66.2,0.8863,0,normal
2023-01-04 17:00:00,M001,61.51,3.612,10.65,22.98,0.038,5.536,2897.7,69.62,0.9023,0,normal
2023-01-04 18:00:00,M001,59.66,3.798,11.011,23.94,0.676,5.499,2889.7,61.59,0.8969,0,normal
2023-01-04 19:00:00,M001,62.15,4.133,14.165,23.82,0.256,5.454,2908.9,67.94,0.9149,0,normal
2023-01-04 20:00:00,M001,59.49,3.486,9.139,22.28,0.331,5.388,2885.2,61.31,0.9079,0,normal
2023-01-04 21:00:00,M001,61.44,3.692,11.567,23.18,0.096,5.265,2891.0,66.57,0.9084,0,normal
2023-01-04 22:00:00,M001,60.8,3.564,9.891,23.15,0.199,5.402,2889.5,64.4,0.9349,0,normal
2023-01-04 23:00:00,M001,60.18,3.776,11.504,22.79,0.644,5.426,2887.5,68.42,0.9445,0,normal
2023-01-05 00:00:00,M001,59.78,3.812,11.736,23.08,0.492,5.656,2887.9,63.71,0.9261,0,normal
2023-01-05 01:00:00,M001,60.05,3.463,10.91,22.83,0.367,5.297,2890.3,65.27,0.9406,0,normal
2023-01-05 02:00:00,M001,57.63,3.514,10.667,23.74,0.126,5.277,2925.1,63.89,0.9002,0,normal
2023-01-05 03:00:00,M001,60.45,3.673,12.274,22.76,0.183,5.522,2916.4,67.01,0.9215,0,normal
2023-01-05 04:00:00,M001,64.1,3.519,12.096,23.22,0.046,5.367,2902.0,68.62,0.9059,0,normal
2023-01-05 05:00:00,M001,57.86,3.554,12.005,22.57,0.748,5.183,2905.8,65.2,0.9112,0,normal
2023-01-05 06:00:00,M001,61.02,3.498,11.76,22.79,0.227,5.497,2897.4,66.41,0.9155,0,normal
